actual\predicted,account_locked,audio_issue,blue_screen,camera_issue,email_issue,greeting,hardware_fault,login_problem,network_issue,overheating,password_reset,phishing,printer_problem,software_crash,software_install,storage_full,two_factor_issue,virus_malware,vpn_issue,windows_update
account_locked,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audio_issue,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue_screen,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camera_issue,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
email_issue,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
greeting,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hardware_fault,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
login_problem,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
network_issue,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
overheating,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
password_reset,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
phishing,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
printer_problem,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
software_crash,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
software_install,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
storage_full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
two_factor_issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
virus_malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
vpn_issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
windows_update,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
